# Lucide icon codepoints — auto-generated from Lucide.ttf
# Format: hex_codepoint  glyph-name
#
# Usage in Rust:  iced::widget::text("\u{XXXX}").font(LUCIDE_FONT)

//! Lucide icon helpers.
//!
//! **Adding a new icon:** look up the codepoint in
//! `crates/playfair-core/assets/fonts/lucide-codepoints.txt`,
//! then follow the pattern of any existing function below.

0000  .notdef#1
f123  cast
f102  castle
f0e1  cat
f0c0  cctv
f09f  chart_area
f691  chart_bar
f07e  chart_bar_big
f05d  chart_bar_decreasing
f03c  chart_bar_increasing
f01b  chart_bar_stacked
f66f  chart_candlestick
f5c5  chart_column
f64d  chart_column_big
f62b  chart_column_decreasing
f609  chart_column_increasing
f5e7  chart_column_stacked
f5a3  chart_gantt
f581  chart_line
f55f  chart_network
f4f9  chart_no_axes_column
f53d  chart_no_axes_column_decreasing
f51b  chart_no_axes_column_increasing
f4d7  chart_no_axes_combined
f4b5  chart_no_axes_gantt
f493  chart_pie
f471  chart_scatter
f44f  chart_spline
f3e9  check
f42d  check_check
f40b  check_line
f3c7  chef_hat
f3a5  cherry
f383  chess_bishop
f361  chess_king
f33f  chess_knight
f31d  chess_pawn
f2fb  chess_queen
f2d9  chess_rook
f2b7  chevron_down
f295  chevron_first
f273  chevron_last
f251  chevron_left
f22f  chevron_right
f20d  chevron_up
f1c9  chevrons_down
f1eb  chevrons_down_up
f164  chevrons_left
f185  chevrons_left_right
f1a7  chevrons_left_right_ellipsis
f122  chevrons_right
f143  chevrons_right_left
f0e0  chevrons_up
f101  chevrons_up_down
f0bf  chromium
f09e  church
f05c  cigarette
f07d  cigarette_off
f0df  circle
f03b  circle_alert
f01a  circle_arrow_down
f690  circle_arrow_left
f66e  circle_arrow_out_down_left
f64c  circle_arrow_out_down_right
f62a  circle_arrow_out_up_left
f608  circle_arrow_out_up_right
f5e6  circle_arrow_right
f5c4  circle_arrow_up
f580  circle_check
f5a2  circle_check_big
f55e  circle_chevron_down
f53c  circle_chevron_left
f51a  circle_chevron_right
f4f8  circle_chevron_up
f4d6  circle_dashed
f4b4  circle_divide
f492  circle_dollar_sign
f44e  circle_dot
f470  circle_dot_dashed
f42c  circle_ellipsis
f40a  circle_equal
f3e8  circle_fading_arrow_up
f3c6  circle_fading_plus
f3a4  circle_gauge
f382  circle_minus
f360  circle_off
f31c  circle_parking
f33e  circle_parking_off
f2fa  circle_pause
f2d8  circle_percent
f2b6  circle_pile
f294  circle_play
f272  circle_plus
f250  circle_pound_sterling
f22e  circle_power
f20c  circle_question_mark
f1c8  circle_slash
f1ea  circle_slash_2
f1a6  circle_small
f184  circle_star
f163  circle_stop
f121  circle_user
f142  circle_user_round
f100  circle_x
f0be  circuit_board
f09d  citrus
f07c  clapperboard
f57f  clipboard
f05b  clipboard_check
f03a  clipboard_clock
f019  clipboard_copy
f68f  clipboard_list
f66d  clipboard_minus
f64b  clipboard_paste
f607  clipboard_pen
f629  clipboard_pen_line
f5e5  clipboard_plus
f5c3  clipboard_type
f5a1  clipboard_x
f2f9  clock
f55d  clock_1
f42b  clock_10
f409  clock_11
f3e7  clock_12
f53b  clock_2
f519  clock_3
f4f7  clock_4
f4d5  clock_5
f4b3  clock_6
f491  clock_7
f46f  clock_8
f44d  clock_9
f3c5  clock_alert
f3a3  clock_arrow_down
f381  clock_arrow_up
f35f  clock_check
f33d  clock_fading
f31b  clock_plus
f2d7  closed_caption
f039  cloud
f2b5  cloud_alert
f293  cloud_backup
f271  cloud_check
f24f  cloud_cog
f22d  cloud_download
f20b  cloud_drizzle
f1e9  cloud_fog
f1c7  cloud_hail
f1a5  cloud_lightning
f162  cloud_moon
f183  cloud_moon_rain
f141  cloud_off
